LETTER	RELATIVE_FREQUENCY	COUNT
T	0.15615317	321557
A	0.12113249	249441
S	0.07677683	158102
O	0.06658133	137107
I	0.06284888	129421
W	0.05642079	116184
C	0.05367366	110527
B	0.04722662	97251
F	0.04532058	93326
H	0.04079707	84011
P	0.03947134	81281
M	0.03822768	78720
R	0.03388481	69777
D	0.03196032	65814
L	0.02433809	50118
E	0.02414530	49721
N	0.02087808	42993
G	0.01754627	36132
U	0.01157708	23840
V	0.00822925	16946
J	0.00797235	16417
K	0.00739641	15231
Y	0.00466143	9599
Q	0.00141606	2916
Z	0.00095958	1976
X	0.00040403	832
